Year,Week,Date,Sales,Cost,Quantity
2014,1,12/30/2013,184546,192380,5626
2014,1,12/31/2013,247513,256685,7638
2014,1,1/1/2014,71517,73569,2207
2014,1,1/2/2014,164961,169638,5089
2014,1,1/3/2014,269401,279110,8310
2014,1,1/4/2014,253033,262259,7804
2014,1,1/5/2014,147668,153084,4552
2014,2,1/6/2014,252463,262086,7786
2014,2,1/7/2014,184614,191924,5695
2014,2,1/8/2014,83923,83098,2464
2014,2,1/9/2014,88841,87642,2603
2014,2,1/10/2014,119353,118176,3499
2014,2,1/11/2014,120789,119719,3541
2014,2,1/12/2014,78637,77867,2304
2014,3,1/13/2014,94674,93804,2776
2014,3,1/14/2014,66002,65300,1935
2014,3,1/15/2014,81540,81239,2392
2014,3,1/16/2014,69970,69693,2053
2014,3,1/17/2014,111632,110959,3270
2014,3,1/18/2014,123553,122853,3620
2014,3,1/19/2014,61228,60857,1793
2014,4,1/20/2014,68693,68388,2013
2014,4,1/21/2014,74104,73906,2174
2014,4,1/22/2014,47638,47792,1404
2014,4,1/23/2014,52724,52563,1543
2014,4,1/24/2014,96385,96009,2821
2014,4,1/25/2014,127959,127626,3745
2014,4,1/26/2014,68305,68215,1999
2014,5,1/27/2014,59626,59682,1745
2014,5,1/28/2014,41547,41614,1216
2014,5,1/29/2014,55592,55628,1627
2014,5,1/30/2014,53270,53311,1559
2014,5,1/31/2014,113473,113389,3321
2014,5,2/1/2014,149333,149198,4371
2014,5,2/2/2014,93480,93202,2736
2014,6,2/3/2014,118004,117483,3454
2014,6,2/4/2014,107237,107441,3139
2014,6,2/5/2014,154234,163114,4750
2014,6,2/6/2014,84317,85268,2495
2014,6,2/7/2014,248509,262156,7651
2014,6,2/8/2014,260474,275723,8024
2014,6,2/9/2014,111399,118340,3431
2014,7,2/10/2014,121741,129459,3751
2014,7,2/11/2014,111664,116913,3438
2014,7,2/12/2014,134684,139547,4151
2014,7,2/13/2014,113965,117919,3510
2014,7,2/14/2014,277638,287232,8555
2014,7,2/15/2014,303043,312696,9339
2014,7,2/16/2014,110358,114382,3401
2014,8,2/17/2014,124274,127836,3831
2014,8,2/18/2014,45813,44703,1341
2014,8,2/19/2014,87706,90083,2704
2014,8,2/20/2014,65054,63492,1904
2014,8,2/21/2014,261993,269314,8078
2014,8,2/22/2014,254824,267664,8053
2014,8,2/23/2014,114130,117690,3519
2014,9,2/24/2014,109725,112466,3384
2014,9,2/25/2014,185417,190262,5717
2014,9,2/26/2014,185464,190820,5714
2014,9,2/27/2014,283735,305975,9133
2014,9,2/28/2014,545448,574144,17145
2014,9,3/1/2014,697742,729186,21764
2014,9,3/2/2014,394660,414355,12365
2014,10,3/3/2014,444044,466207,13914
2014,10,3/4/2014,255754,270346,8067
2014,10,3/5/2014,211290,223509,6658
2014,10,3/6/2014,138286,140586,4180
2014,10,3/7/2014,383466,404505,11991
2014,10,3/8/2014,428650,452771,13401
2014,10,3/9/2014,185173,195315,5780
2014,11,3/10/2014,235881,248872,7361
2014,11,3/11/2014,154223,160121,4728
2014,11,3/12/2014,157979,164849,4865
2014,11,3/13/2014,135699,141288,4167
2014,11,3/14/2014,326293,340115,10027
2014,11,3/15/2014,427031,446822,13162
2014,11,3/16/2014,186754,194981,5742
2014,12,3/17/2014,200838,209700,6176
2014,12,3/18/2014,78165,75731,2231
2014,12,3/19/2014,76135,73795,2173
2014,12,3/20/2014,148662,144105,4243
2014,12,3/21/2014,165593,160556,4726
